correct,wrong
surrounded,surouded
recommending,recomend
happened,hapened
honey,hony
widely,widly
uncomfortable,unconfortable
sacrilegious,sackreligious
systematic,systermatic
climb,climbe
comparatively,compartively
unfortunate,unfortuonate
curtain,curtion
continent,continet
fiery,firey
attorneys,attoronies
fascinating,facinatting
apologize,apoligize
going,gogin
banana,bannana
cemetery,cementry
exhibition,exbintions
schemes,scemes
questionnaire,quesionnaire
slimmer,slimer
deckchair,deck_chair
mathematics,mathenmatics
affidavit,affidavited
traveller,travler
propose,perpose
economical,enomical
financially,fianancally
daisy,dasy
accrued,accruide
whistling,wisting
scrambled,scramled
rough,routh
provision,provission
friends,frineds
rather,rarther
dining,dianing
niggardly,nigardly
apology,apologey
extraordinary,extraordinarilly
remembrance,remmeberance
sylph,slyph
certainly,certaintly
acknowledgement,acknowlegement
beam,beame
jacques,jaques
teeth,theeth
infinite,infininte
satellites,sattelites
futurist,furturist
filthiness,filthness
in_spite,inspite
challenge,chalenge
originally,orignially
satisfaction,satisfacttion
dancing,danceing
blackened,blackend
apparently,apparentally
terrible,terriable
primarily,pimarily
structure,structu
requisition,rectquisition
discussion,dissucussion
window,wondow
knife,nife
actually,acturally
diagrammatically,diagramatically
voucher,foucher
spring,sping
everything,everying
lately,latly
cannot,can_not
winter,witer
strengthening,strenghtening
scheduled,scedualled
millions,milons
immediately,immediantely
presuming,preuming
musician,musisian
shelter,sheter
financial,finaancle
individuals,indivuals
exceptionally,exceptionaly
loud,loued
temporary,temprary
receiving,recieving
guaranteed,guarnteeded
supporters,suppoters
generally,generly
conditions,condistions
especially,espially
innocent,inoscent
guarding,gaurding
kindergarten,kindergaten
statistics,statithics
saucer,sucer
scalable,scaleable
lots,losts
equally,eaqually
economical,economal
resurrect,resurect
necessary,nessasary
juice,jusie
pneumonia,pnueounia
completion,compleation
accordance,acordance
letter,leter
script,scripot
ceased,scease
counter,conter
friend,frind
surrounded,sourounded
analysis,annalyasis
attended,atended
conscience,conciences
influence,infulence
approaching,appoaching
unfortunate,unfortunated
similar,similiar
bottom,botton
damaged,damanged
guerrilla,guerrila
forbidden,forbiden
neighbouring,neigbouring
because,becasue
chemistry,chemishter
unfortunately,unfortuneatly
afore-mentioned,for-mentioned
receipt,reciapt
visited,visitied
ward,whard
lively,livley
rough,roughe
endocrine,endochrine
projects,projets
contented,continente
upper,uper
depressed,depresed
manageable,managable
immensely,imensly
criticism,critiszm
city,sity
safeguard,safegaurd
gorgeous,gordgous
school,schooll
pretend,prertend
recommend,recomnend
students,studens
technical,technecil
southern,sother
raincoat,rain_cote
damaged,damagd
physician,phyisian
congratulations,congreatulations
courteous,curtus
higher,higer
controversies,controveries
dispute,disput
absorbed,asorbed
cherry,chery
attraction,atraction
counsel,cunsel
bashful,bashfull
deceived,decieved
scrambled,crambled
which,wicth
unexpected,unexpeted
economical,economiccal
requisition,requsion
shield,sheild
slammed,slamed
stuff,stuf
ghost,goast
harassing,harrasing
suspicion,supsicion
feature,feture
retirement,retirment
commissioned,commisioned
anxious,ansxios
guarantee,garranteed
headmistress,head_mistress
opposite,oppiste
permanently,permanientaly
regularly,regulary
possessed,possesed
voucher,voucer
curiosity,curiostey
astronaut,astronuat
pneumonia,pneumphia
taken,talken
canvass,canfass
security,seurity
specimens,speciamens
answer,arnser
frightened,frighend
flagrancy,falayrancy
immediately,immeditly
instruments,instrments
permanently,permnently
visit,vist
pneumonia,nuemonia
restaurant,restrant
foundation,fondation
existence,existendent
since,scince
mostly,mostley
attained,attaindre
pencil,pecil
analysis,annalylisis
circling,circeling
course,coure
searched,searhed
approximate,approckmate
thief,theif
guarantee,guarteed
unforgettable,unforggetable
mayfield,mayfeild
describes,decribes
judgement,jugement
a_bit,abit
acknowledgement,acknoledgmet
secret,serect
different,diffrent
stay,staye
hypothesis,hypotathes
first,frist
argument,arguement
interbred,interbread
often,ofen
house_point,housepoint
talents,tallents
economic,econmic
lives,livs
anxiety,anxietty
de_rigueur,de_rigeur
gradually,gradjually
inconvenience,inconveinced
contented,comtente
enthusiastic,enthuestiastic
guarantee,garauntee
await,awate
flagrancy,flayaracy
deny,denigy
decision,descision
refreshment,riefreshmet
permanently,permanentally
extinguisher,extinguser
appreciate,apprisate
tickled,tickeld
fetched,feched
pounding,ponding
headmaster's,headmastes
conscientious,consentious
saucer,surcer
generous,generious
specifically,specifcally
eleven,elven
singsong,singsog
scarf,scarfe
playtime,play_times
john,johhn
there,tere
away,wraway
cancelled,cancled
unanimous,unnanomous
lifelike,life-like
vengeance,vengance
sound,sond
beautiful,boetiful
asking,askeing
criticism,criticiz
increasing,inceasing
repair,repare
besides,besids
censored,censorsored
badcock's,badcock
geometry,geomatery
thoroughly,thoroughally
signature,signiature
suppressing,supressing
geometry,gemetry
omission,ommision
foundry,foundary
selective,seleactive
achieve,acheve
incidentally,incodently
considerable,considerble
compound,compond
agencies,agecies
repairs,repires
appreciate,apecate
scissors,scissocers
acquaintance,acqauntance
banana,banna
lodge,logen
picturesque,pituresque
poetry,poeptry
forget,foreget
successful,successfull
can't,carnt
exaggerate,exgerate
economic,economicies
equipped,ecquipped
aeroplane,aeplan
emissary,emmisary
uncertainty,uncertainity
problem,problen
snakes,snaks
increasing,incrsin
statistics,sttistics
cement,cemment
physician,physican
guarantee,gauratee
competent,compentent
burned,bruned
affectionately,afectiontly
restaurant,restauraunt
tiny,tiney
destination,destinaition
duly,dualy
wealthy,welthy
disrupt,disrupte
leisure,leiusure
failed,faild
primary,primmary
orchestra,ocestra
necessarily,neccessairly
wealth,welth
discovery,dicovery
rheumatism,rhuematism
burning,buring
attorneys,atournys
difficulties,diffucties
removed,renoved
auditorium,auditoriumn
regret,regreat
progresses,progressess
dramatic,drammatic
pronunciation,pronisation
doors,dors
competent,commpetent
vacancy,vancy
seceded,secceeded
occasionally,occasonaly
inconvenience,inconvence
courtesies,courtezes
girl,guirl
recommendations,recomenidations
pneumonia,numonia
initiation,intantion
unexpected,unexcepted
ticket,tiket
unfortunate,unfortunat
towel,towl
appetite,appeite
alumni,alumini
extraordinary,extoranary
gradually,gradullay
patch,pacth
economics,ecomomic
break-times,breaktimes
unforgettable,unforgettalbe
mountainous,mountainses
conscientious,consineous
colleague,collegue
hygienic,hygeinic
reckon,recone
miscellaneous,misscellous
conditions,condictions
sons,souns
circular,curcular
isn't,isnt
tapping,tappin
belief,beleif
temporarily,temporarially
admitted,admerited
unfortunately,unfortuantley
referred,referd
professor,proffessor
annoyance,anvonance
everything,everthing
ecstatically,exstaticaly
signature,sigtuare
psychology,scycology
different,diferent
available,avalaible
acknowledgement,acnoldgement
career,carrer
minutes,minuites
also,alsot
glass,glas
aggravate,agravate
receptacle,receptacel
rheumatism,rumatism
supposes,suposes
fascinating,fasating
internationally,internationlly
miscellaneous,misscellaneous
articles,articals
seismic,siesmic
population,poplation
recognition,recganiction
fight,frigh
becoming,becomeing
satisfactorily,satifactorly
guarantee,guarneetee
operate,opperate
spacecraft,spacecraf
parallel,parrallel
actually,auctully
beneath,beneth
distinguished,distigushed
delinquent,delinkquet
possession,posession
initiation,inistiation
gauge,gager
started,sarted
frightened,frightended
perseverance,perserverance
self,selfe
delightful,delighful
efficiency,eficency
whitewash,white-wash
poacher,pocher
transcendent,trancendent
bottom,botome
hardware,hardwear
disappoint,desippoint
caught,caugt
negotiations,negogiations
amiable,ammiable
scheduled,scheludled
melancholy,melliancoly
having,haveing
aggressively,agressively
conscious,conciouious
driven,drivern
shape,saple
emotion,emition
potatoes,patoes
sufficient,surficent
prejudice,predjidice
committing,comitting
training,trainning
economic,economce
continuously,continuousely
enthusiasm,enthuastim
handicapped,handi-caped
fraternally,freatrunally
ranked,rankd
ecstasy,ectasy
conscientious,conscientuous
steady,stedy
destination,destinaion
apartment,appartment
amiable,animable
criticize,criticise
body,boddy
saucer,sauer
initiation,initionation
reach,rech
conveniently,convenuntly
physician,phyican
disappointing,dissapoiting
painful,pianful
compiler,complier
courtesies,courtsies
comfortable,comforable
whole,hwole
reparation,repairation
valley,vallery
considering,consderin
literally,literitally
extraordinary,extradionary
expenditure,expenisture
unnatural,unnaturral
bushel,bushell
negotiations,negoitation
ordinarily,ordonarily
financial,financal
courtesies,courtoueses
courtesy,courtesty
prefer,perfer
used,usued
spacecraft,space_caft
unfortunate,unfortionate
professional,proffessinal
chest,cheast
isotope,isotrop
efficiency,efficientency
proportion,propotion
affectionately,affectionatley
digging,diging
satisfactorily,satisfactorly
enthusiastic,enthsustic
successful,suceful
usually,usally
efficiency,effucency
temperature,tempeture
strata,strat
specifically,specificalely
permanent,perament
unanimous,unenamous
however,howevery
substance,substace
steering,stering
brake,brakke
innocence,inocence
questions,qustions
aeroplane,arepalane
goodbye,good_bye
approximate,approiximate
stole,stol
beautiful,beuitiful
immediate,immediatte
parent,pairent
requisition,recqusistion
elementary,ellementary
unparalleled,unparralleled
chocolate,chocolat
a_look,alook
definite,defient
accommodating,accomodating
citing,cisting
their,thier
gorgeous,gorgus
documents,doctuments
affidavit,afidavit
enthusiasm,enthousiasum
specimens,sepemends
acknowledgement,acknowedgment
bulletins,bulletings
conscious,conscienous
collateral,collarteral
satisfaction,satifachon
playtime,play_time
subterranean,subteranean
positively,positivly
amount,amont
juice,jucee
receiver,recever
extraordinary,extroadinary
difficulty,diffuculty
period,peroid
proceed,procceed
execution,excecution
avenue,aveune
itself,itsself
originally,orignally
financial,finanial
answer,aswerd
exceptionally,exeptionally
abattoir,abbatoir
opportunities,opportunites
universities,univesities
couturier,coururier
happened,happended
assistant,assitant
noisy,norisey
requisition,rekquisition
economical,ecnomical
environmentally,enviormentally
psychology,pcsyology
unfortunately,unfortionatly
alright,allright
along,alog
people,pepole
catalogues,cattalogues
scarcely,scarely
turned,trnd
purple,purpel
magnificent,magnifit
contaminate,contaiminate
delegates,delgates
impatience,impatiene
cloud,coudl
gorgeous,goreous
corresponding,correponding
uncle,uncil
instruments,instments
auxiliary,auxilliary
appropriate,appropriatte
essay,esay
attempting,attemting
thoroughly,thoroughily
communication,communcation
pamphlets,pamphletts
consistent,consisent
conveniently,conivenently
inaccessible,inacesable
ogling,oging
loans,lones
prejudice,predjuice
unfavourites,unfavorites
accident,accdient
immediately,immediatly
knowledgeable,knowlegeable
swear,swar
spiteful,spitefull
exact,exakt
playwrights,playwrites
shipping,shippin
reinforce,reinfore
other,othere
continent,conteniet
scrambled,scambeld
bored,boured
deny,deniy
large,mlarge
beechwood,beech_wood
economic,ennconoic
enthusiastic,enfusiatic
theses,thses
badminton,badmington
travel,travle
unanimous,unamenous
pamphlet,phamphlet
cancellation,chancelation
used,usedf
discussion,discusion
incidentally,incidendently
suggested,sugested
impossibility,impossibilty
unusually,unusly
scheduled,scjedueld
specific,specifict
especially,espeicially
opportunity,oportunity
amiable,amieable
epistle,epistol
difficult,difficut
temporarily,temorarily
continuous,continious
mediaeval,medeival
encapsulation,encapsualtion
pretend,petend
commandos,comandos
special,speaclil
chemistry,cemmistry
succeeds,suceeds
establishments,establisments
amount,ammount
poetry,poery
example,exsample
separate,seperate
refreshment,refreashent
propose,proppose
administrative,adminstrative
thorough,thorugh
conscience,conciece
eventually,eventiually
exhibition,exibion
available,avalible
about,abuot
guessed,gessed
however,howevever
biscuits,bictuts
correct,corect
accordance,acourdance
beginning,beging
regained,re_gaind
beautiful,beuitful
discussed,discused
scheduled,schuedled
acknowledging,acknoledging
relationship,reltionship
bluff,bluf
ancient,acient
acquaintance,accquatance
successful,succfull
flagrancy,flagany
university,univeristy
friendly,friendy
clear,clera
recurring,reccuring
considered,considerd
muscle,mussle
reconnect,reconnet
orignal,orginal
thankful,thankfull
seeing,seening
relationship,relation_ship
where,werre
suitable,suteaboule
ophthalmology,opthalmology
curiosity,curiousy
journey,journy
elementary,elemtary
looks,lookes
doubtless,doutless
solemn,solmem
curtain,curtian
ideas,idesa
economics,ecomoics
technical,texnical
especially,especialaly
precision,prescission
tattoo,tatoo
apology,apoligy
kindergarten,kitengarten
received,recieved
curiosity,curosity
permanently,permentaly
agencies,aggencies
anticipate,anticupate
conveniently,convenientally
flying,flyin
intellectual,intellual
sympathetic,sympatics
night,nigth
herself,herslef
technical,tecnecial
imitation,initation
deliberately,deliberatly
unnecessary,unneccessary
developed,developped
street,steet
croak,croke
recognition,regnition
analysis,analyes
lodge,loadg
rheumatism,rheusmatism
harasses,harases
couple,cupple
when,whene
relieve,releive
beginning,be_gining
from,fraom
acknowledgement,acknowlment
whistling,whistleing
scare,sceare
controversy,contriversey
generally,generaly
protection,protecktion
traffic,tafic
moving,moveing
flagrancy,flagrancey
itself,itslef
spermatozoa,spermatozoan
permanently,permanately
ex-policewoman,ex-police_woman
genitalia,genialia
brought,brough
breathe,breah
tomorrow,tomorow
ridiculous,ridiculos
manage,managge
enthusiasm,enthusiasiam
financially,finiancially
strenuous,strenuos
sufficiently,suficently
wherever,wereever
customer's,customers'
continued,contuned
references,refernces
targeted,targetted
temperature,temperture
address,adress
originally,oringinally
accommodation,acomodation
financially,financuly
accordance,acoradance
answer,anewer
curtains,cuaritains
especially,exspecaily
requisition,requsition
academically,accademically
austrian,austrain
artificially,artifically
exquisite,exquisit
damage,damagage
guarantee,garrantee
become,be_come
centuries,centruies
useful,usful
pilgrimages,pilgrimmages
table,tabel
shield,sheld
sounds,soudns
charismatic,carismatic
horse,hors
belief,belife
cargo,cargow
attorneys,attorniies
clock,clok
villi,villin
miscellaneous,miscellaeous
incredible,increadible
attribute,atribute
scientific,scientic
refreshment,remfehment
pastime,pasttime
article,artical
wanted,wantend
sepulchre,sepulcre
number,nuber
memorandum,morandum
elementary,elemntary
acknowledgement,knowledgement
continent,contenient
answered,aswered
delinquent,delingquent
firstly,fisrtly
frightened,fritened
usually,usaly
central,cntral
mustn't,mus't'n't
little,littel
nowhere,no_where
contented,contentied
remembrance,rememberance
volunteering,volounteering
luncheon,lunchon
lost,loast
fundamental,funamental
answering,ansering
instruments,instriments
kitchen,kichen
mathematics,matematics
receipt,reciept
unparalleled,unparrallel
accident,accxident
corners,cornes
anxious,anscious
forecasting,forcasting
telephoned,telepondes
administration,addministration
things,thigsn
unexpected,unexpect
determined,deterned
athletic,atheletic
stately,statelly
sufficiently,suffeicently
cheat,chet
apparently,apparntly
customer's,coustormers
grapes,graps
relief,relif
originally,origianally
memorandum,memorrandum
specifically,speciffically
beginning,begaining
trouble,troble
everybody,evey_bod
hearing,hering
magnificent,magnifet
strenuous,stremious
afterwards,afterwars
sorority,soriety
annum,anuam
refrigerator,refrigeator
register,rgister
several,severeal
unearthly,unerthly
analysis,ananalysis
conveniently,connveniently
century,centurey
conscience,conceince
cemetery,cemertery
spiritual,spirituall
technical,techinial
allotment,alotment
environment,enviorment
enthusiasm,enthusasamin
worthwhile,worthwile
economics,enomices
seriously,seariously
liaise,liase
forward,foreward
testimony,testomony
saucer,suacer
designed,desineded
approximate,approsumate
highest,hiest
frustrating,frustartaion
admitted,addmited
vulgar,vaulgar
because,be_cause
unsuccessful,unsuccesful
surface,suface
folks,folkes
unanimous,unaninus
behind,beind
economical,ecomicial
break_time,breaktime
experience,expeirence
losers,loosers
eclipse,ecipse
sclera,clera
gallery,galerey
documents,documens
organize,organiz
available,avible
esteemed,estemened
bruise,bruse
because,becaus
really,relly
picturesque,pictursque
amiable,ammibable
everything,every-thing
realistic,realistice
property,propety
lavatories,lavatries
policeman,policman
fascinating,fasinating
swearing,swearinge
esteemed,esteened
again,agan
temporarily,temoraly
gradually,gradruly
unscramble,unscamble
approaching,aprocing
jobcentre,jobcetre
pneumonia,phunmonia
imitation,imiation
diphthongs,dipthongs
pneumonia,pneunonia
solemn,solmon
subpoena,subpena
headmistress,head_misstress
philosophical,philisophical
inconvenience,inconfience
prehistoric,pre-historic
guaranteed,gauranted
commencement,commencment
poison,poisin
oppressive,opressive
lots,lotes
guinness,guiness
fifteen,fithteen
even,eaven
moment,moent
precision,precission
those,thoes
negotiations,netyotiation
above,abve
philosophy,philosphy
learnt,larnt
absurd,aburd
curiosity,couriosity
dream,deram
dormitory,domotory
umbrella,umberella
sacrilegious,sacreligious
privileges,priveliges
hatched,hached
owing,oweing
dictionary,dictonary
time,tiome
procedure,proceetgure
awhile,awile
accommodate,accomodate
grateful,greatfule
pepper,peper
starting,startin
amuse,ammuse
stopped,stoped
gone,gonne
pretend,pertend
removed,remoovd
writing,wirting
playground,playgroud
arrangement,arrangment
length,lenth
minute,miniute
literally,literially
violence,vilelence
windowsill,window_sill
gorgeous,gorgouse
growth,groth
completed,compleated
determined,determon
violin,volin
avoid,a_vod
priory,piorly
cemetery,cemmetry
unexpected,unepcted
tragedy,tragdedy
remember,rememmber
accomplished,acomplised
colon,coaln
congratulations,congratilations
chemical,chemcial
affectionately,affectionsly
succeed,succed
policeman,police_man
prejudice,predujice
cease,ceaze
attaching,atching
procedure,procedur
extraordinary,ex_tra_ordinary
enthusiasm,enthausiam
financially,financly
illegitimacy,illegimacy
committed,commtied
construct,construkt
preferring,prefering
severely,serverly
apparently,aparentely
economical,econicial
amiable,amuable
government,govermne
extraordinary,exturorary
hairdressing,hair_dressing
eaten,eatten
fascinating,facinating
criticism,criticizm
christmas,cristmas
noisy,nosiy
govern,goven
conscious,sconceious
economic,ecomomic
accompanying,acconpaning
amiable,anemable
comfortable,comftable
disappoint,disapoint
potatoes,paotoes
omissions,ommissions
affectionate,affectinate
juice,juic
inconvenience,incovenience
rhythm,rythm
formed,fromed
congratulations,congratuations
enthusiasm,enthusiasum
pamphlet,phamplet
controlled,controled
liable,lible
knowledgeable,knowledgable
direction,directio
privilege,privelege
removed,remov
occasional,occassional
immensely,immenly
turnkey,turnk
minimum,mimimum
outfit,outfite
upstairs,upstaires
scare,scair
waterworks,water_works
apparently,appareantly
attorneys,atourneys
lady,ladey
alumni,alumnigh
because,becaise
owner,onwer
competitive,competive
pamphlets,phamphlet
employer,enployer
enthusiasm,enthusiasthusm
omitted,ommitted
brethren,bretheren
curious,curouse
inconvenienced,inconveinced
dextro,detro
galvanized,galvanised
enthusiastic,entheusiastic
unfortunate,unfortumate
contained,contasined
infiltrated,infilitrated
trilogy,triology
occurred,ocurred
many,manny
arrangements,arrangesments
exaggerates,exagerates
over,overe
auditorium,audiatorum
recommended,recommeded
horse,hourse
document,doccument
recommendation,recconmendation
hatches,hachess
artificial,artifical
southern,sothern
fraternally,fraterally
friends,frend
incidentally,incildently
centrally,centraly
humbly,humly
suppose,supose
apparently,apparentaly
auditorium,auditorimn
anticipation,anticption
propel,propell
society,socity
courtesies,curtesies
script,scirpt
minutes,muinutes
financially,finnancilly
conscience,consceince
champagne,champange
intelligence,inteligence
associated,assocaited
subterranean,subterannean
cooperation,coorperation
preserved,perserved
worried,woried
america,amercia
capacity,capcity
dormitory,dominatory
supplement,supplment
rheumatism,rheumatisium
successful,sucesfull
avoid,advoide
indefinitely,indefnitly
mucous,mucuous
defenceless,defencless
touched,toutched
reminded,remined
wholesale,holesale
evening,evning
picnicking,picnicing
extraordinary,extarordinary
demand,demaned
structured,stuctured
massachusetts,massachussetts
clerical,clearical
headmistress's,headmisstres'
financiers,financers
maintain,mantain
fascinating,fascisnating
pogroms,progroms
regretted,unregereted
throw,thow
blossom,blosom
temporarily,temporairily
location,loction
existence,exhistence
broad,brode
eisenhower,eisenhhower
schedule,scheudled
great,gret
mathematics,maythmatic
inconvenience,inconivnence
scrambled,sambled
recognition,recogonition
unfortunately,unforetunately
criticism,criticisim
ordinarily,ordinarley
before,bfor
requisition,recqusision
speaking,speking
runner,runer
rheumatism,rhemutism
there,theyre
inconvenience,inconvenence
refrigerator,refrigeratior
officer,oficer
introduction,introdution
succinctly,sucinctly
desperate,desprat
typewriter,typwriter
altitude,atitude
psychology,phscology
galvanized,galvanzied
saucer,sacuer
pilot,polot
again,a_gain
poetry,powetry
tobacco,tobaco
hundred,hundrd
judge,juge
those,thos
recommendation,reccomendation
shattered,shatterd
guarantee,granautee
schedule,sheduel
understand,uderstand
maudlin,mauldin
collateral,colateral
succession,sucesion
freezing,freesing
pottery,potery
procedure,proceduer
open,opean
characterized,charaterized
immediately,imeaditatly
temporarily,temporaly
conveniently,convientally
neighbour,neigbour
advertisement,advertisment
operator,opretor
enthusiastic,enthousiastic
break,brack
annum,annium
appetite,appeatite
vast,vaste
yourself,youself
authoritative,authorative
pamphlet,panphlet
alpine,allpine
guardian,gardin
nursery,nusey
employees,empolyees
beneath,benath
schedule,sceduel
transcendental,transcendentational
encompassing,encompasing
virtue,virtrue
supplement,superment
partially,partically
particular,preticula
hindrance,hinderance
muscles,muscels
unnecessarily,unessasarily
physician,physin
psychology,pschicology
virtues,virturs
tracksuit,track_suite
listen,lisen
unconventional,unconvential
enemies,enemes
toboggan,tobogn
guards,geurds
piece,peice
pretend,pretented
breakfast,brekfast
teacher,teaher
legged,leged
appropriate,appopriate
strengthened,strenghened
scheduled,schueduled
subterranean,sub-terranean
harassment,harrasment
sudden,suden
college,colledge
download,doenload
statistics,stastitics
bitch,bich
memorandum,memoradum
experience,expierence
accommodate,accomdate
continent,conteninent
accident,acident
standing,stading
refrigerator,refrigator
beautiful,beuful
conveniently,convinenent
beautiful,beatifull
tracksuit,trake_suit
figure,figuar
questionnaire,questionniare
unanimous,unaninous
designed,desingd
disappears,dissapears
governments,goverments
weather,wheather
could,coud
corrugated,corrigated
fight,fihte
acquaintance,accquiantance
forty,fourty
friends,frinds
express,exspress
similar,simlar
rummage,rumage
rococo,rococco
initiation,initistion
sizing,siezing
awful,awfull
arctic,artic
retaliation,retalitation
guarantee,garanttee
sheets,sheertes
handsome,hansome
geometry,geomratry
cloudy,clody
advance,addvance
magnificent,magenifent
creamery,creamry
designed,desigen
folks,folks'
ahead,aheard
swollen,swolen
stadium,staydium
thoroughly,thouroly
hide-out,hidout
requesting,equesting
monkey,monky
overfill,overfil
unanimous,eunamous
purple,puorpe
innumerable,inumerable
hemorrhage,hemorrage
affectionately,affectonatly
pneumonia,nemonia
recommended,reckomend
questioning,question_ing
management,managment
symmetry,symetry
accommodation,accomdation
incidentally,incidently
admitted,admitd
gallery,galery
fictitious,fictious
conceive,conceiive
prejudice,predices
visited,vistored
spare,spair
abuts,abutts
struggle,strugle
answer,anwser
financially,finaily
whistle,whisle
obvious,obvios
guardian,guardain
jobcentre,jobcenter
surroundings,suroundings
success,sucess
lodge,logde
annoyance,anouance
league,leage
fascinating,vasinaing
starter,strater
spiritual,spitirial
damaged,damge
fulfil,fullfil
surplus,surrpluse
complaint,complant
weave,weve
tiring,tiering
depth,dept
possess,prosess
rheumatism,rumaticism
parallel,paralell
ammunition,amunition
fierce,ferce
acquaintance,acquaintiance
thoroughly,throughtly
performs,performes
pollution,polution
confirmation,confumation
cemetery,cemetray
ultimate,ultimatel
country,ocuntry
beautiful,breatful
conveniently,convenintly
telephoned,telphone
surprised,suprized
airport,airpot
caterpillars,catterpilars
elementary,elementtorray
acquaintance,acquaince
requisition,requcision
technical,technicle
exquisite,exqusit
science,scienee
poetry,poertry
agencies,agenices
disposal,dispoulsal
geographically,goegraphicaly
often,ovten
pamphlet,pamplet
managed,manged
philology,phlology
consistent,constent
surprising,surprizing
experience,exsperence
coloration,colouration
simply,simplye
berries,berres
universally,universaly
freight,frieght
hedge,hegde
sleigh,sliegh
designed,desinge
molecule,moleul
dissatisfied,disatisfied
vacancy,vacancity
worries,worre
remind,remined
thoroughly,thoughly
heritage,inheritage
exchange,excange
admit,admite
appetite,apetitate
frequently,freequently
exhibition,exhibion
critique,ctitique
countenance,accountance
adders,addres
circumstances,circumstaces
emitting,emmiting
to-day's,todays
exactly,exactely
memorandum,memandum
originally,originaly
representatives,represenitatives
ubiquitous,ubiquitious
technicians,techicians
poetry,poetery
trouble,truble
headmaster,heardmaster
again,agane
politician,pollitic
environment,enviornment
friends,frieneds
guardian,gurdian
rectangle,rectangeles
buried,buiried
usually,usualy
phase,phause
pockets,poketes
volcano,volcanoe
acceptable,axceptable
gorgeous,georgeous
fundamental,fondundmental
affidavit,affidait
told,tolld
splendid,splendod
melancholy,mellancholy
intellectual,intelliectual
recognition,recocgnition
extraterrestrial,extraterrestial
appetite,appeiate
start,stat
somewhat,somwhat
conscientious,concienous
viewed,veuwed
anointed,annointed
projects,projeccts
children,childre
reversing,revrsing
committees,commitees
engine,enegine
alumni,alumi
magnificent,magnifficent
received,recevid
possessing,possesing
physician,physcian
garage,grage
anxiety,aniety
seizing,siezing
valuable,valueable
conveniently,convenlient
requisition,requizsition
strenuous,strenouous
consistent,consistient
receipts,riecepts
unfortunate,unfortuneate
preferred,prefreed
discretion,discetion
conspired,conpired
thickening,thikning
unconscious,unconcious
extraordinary,extradornary
scheduled,scheudled
downstairs,down_stairs
sell,selle
enthusiastic,enthuesastic
accrued,accrute
soldiers,soliders
hockey,hocky
weigh,wiegh
sympathetic,sypathtic
fruit,friut
conscious,conceious
juice,jice
phantom,fantom
fascinating,vaciating
potato,potatoe
definitely,definately
amiable,aimaible
omitting,ommiting
requisition,requosition
field,fied
gentleman,gentelman
unparalleled,unparallel
buried,bured
cartridge,cartrige
mysterious,myesterious
frightened,frigtened
undoubtedly,undoutedly
diamond,dimound
satisfaction,satifacion
imitation,inimation
bankruptcy,bankruptscy
scarcely,scaresley
gaoler's,gaolers
completion,completeion
whatever,what_ever
rendered,renderd
entered,entred
steal,stel
unfortunate,unforunate
inconvenienced,inconvenintence
recommendations,reccommedation
think,tink
restaurant,restrarent
accrued,ackcrewd
too_much,tomuch
guards,gaurds
cleaning,clening
exaggerate,exjarate
subterranean,subtranen
designed,desighed
pierce,peirce
broadcast,bradcast
amiable,amuabile
most_likely,mostlikely
correspondence,corresponence
paralysis,parallysis
neighbour,neibour
languages,laguages
sunday,suntday
groups,greops
galloped,galope
galvanized,galvanise
tennis,tenis
decidedly,dedidedly
successes,sucesses
recognize,recongize
compel,compell
empirical,empirial
innocent,innicent
affidavit,affadivit
mustn't,musten't
analysis,anaylis
courtesy,courteaus
pretend,phretend
adjourned,addjurned
curious,curous
archaeology,archaology
define,deffine
braid,brade
destination,destion
attacked,atacked
dangerous,danges
bored,boored
curiosity,curosisty
permanent,permnant
extended,extentded
comfort,comefort
negotiations,negoatation
extremely,extremly
serviette,serviet
asymmetrical,assymnerical
playground,play-ground
shaggy,shggy
supplementary,suplementary
disappear,dissappear
myself,mysef
rendezvous,rendevous
sacrilegious,sackrulgous
restaurant,restraunt
advice,adviced
cracker,craker
disposal,disposial
especially,esspecially
analysis,analsis
thoroughly,thoroly
recommendations,recommenddation
occasions,occassions
captain,captian
dining,dinnings
recollect,reccollect
therefore,there_for
because,becauses
changed,chaned
guarding,garding
agencies,agentices
headmistress,head_mistrise
familiar,familia
vagabond,valgbond
attempted,attemted
register,registra
conscientious,concientius
unanimous,unnanimous
pretend,prenten
instance,insance
beautiful,baeatiful
increasing,incressing
decided,descided
conveniently,convieniently
tournament,tournmant
noticeable,notiesbale
embarrassed,embrassed
ascertain,acertain
immediately,immeatly
marriage,marrige
creature,creture
badge,bage
duly,duley
around,rond
refrigerator,refreduator
left,lerft
vacancies,vacancieces
sleeping,sleping
accord,acord
immediately,immeditaly
controversy,contravorsy
stars,stres
remind,re_mind
three_quarters,threequaters
signature,sinicature
homely,homley
suspicion,suspion
unparalleled,unparallelled
initiation,inisitation
officially,officialy
establishments,establism
solemn,soleman
ourselves,ourselfs
acquaintance,acquantiance
clearly,claerly
guaranteed,garnteed
unfortunate,unfortuate
recommendations,recomedations
labyrinth,labrynth
difference,differance
gathered,gatherd
mixed,milxed
drink,drnik
unsuccessfully,unsucessfully
along,aling
magnificent,mancificent
piercing,peircing
confirmation,confimation
arguments,aurgument
substitutions,subisitions
freezing,frezing
cemetery,cemetrey
extraordinary,extra-ordinary
months,monthes
juniors,juniour
colonel,colneol
